epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.9191973209381104,0.18991079926490784,0.8888608813285828,0.3022691309452057
1,0.9219380021095276,0.18487770855426788,0.890625,0.3036043345928192
2,0.9227255582809448,0.18296746909618378,0.8903729915618896,0.29776209592819214
3,0.9224105477333069,0.18141180276870728,0.8911290168762207,0.2978752851486206
4,0.9240801334381104,0.18009012937545776,0.8897429704666138,0.3052307963371277
5,0.9237965941429138,0.17935247719287872,0.8920111060142517,0.2925816774368286
6,0.9254977107048035,0.1778896600008011,0.8944052457809448,0.29102134704589844
7,0.9250882267951965,0.17636121809482574,0.891381025314331,0.29735270142555237
8,0.9263167977333069,0.17561917006969452,0.8907510042190552,0.30489230155944824
9,0.9265058040618896,0.1753503680229187,0.8916330933570862,0.30028030276298523
10,0.9263482689857483,0.17373879253864288,0.8923891186714172,0.3079061806201935
11,0.9276083707809448,0.17350654304027557,0.8941532373428345,0.3018680512905121
12,0.9265688061714172,0.1725543588399887,0.8918851017951965,0.2973772883415222
13,0.9282699227333069,0.17204292118549347,0.8944052457809448,0.30002567172050476
14,0.9280179142951965,0.1709236353635788,0.8920111060142517,0.29924431443214417
15,0.9286479353904724,0.17018823325634003,0.8923891186714172,0.29479989409446716
16,0.929466962814331,0.16938254237174988,0.8960433602333069,0.29963308572769165
17,0.9291204810142517,0.16840726137161255,0.891381025314331,0.30515530705451965
18,0.9301915168762207,0.16794295608997345,0.8920111060142517,0.30482545495033264
19,0.930443525314331,0.1663733720779419,0.8908770084381104,0.3073900640010834
