epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.9503843188285828,0.114005908370018,0.9279233813285828,0.21651840209960938
1,0.9575037956237793,0.09729371219873428,0.9308215975761414,0.20708520710468292
2,0.9615360498428345,0.08870404958724976,0.9340977668762207,0.21355624496936798
3,0.9641191959381104,0.08324625343084335,0.9368699789047241,0.200127974152565
4,0.9666708707809448,0.07786906510591507,0.9353578686714172,0.21178127825260162
5,0.9690650105476379,0.07475842535495758,0.9377520084381104,0.20995914936065674
6,0.9700731039047241,0.07147198915481567,0.9351058602333069,0.19530817866325378
7,0.9708606600761414,0.06815673410892487,0.94140625,0.18669459223747253
8,0.9731917977333069,0.06524260342121124,0.9387601017951965,0.191518172621727
9,0.9739478230476379,0.06270162016153336,0.9426663517951965,0.19315381348133087
10,0.9747353792190552,0.06067851930856705,0.9402721524238586,0.20254960656166077
11,0.9757434725761414,0.057343561202287674,0.9434223771095276,0.22645282745361328
12,0.9769090414047241,0.0555054172873497,0.9351058602333069,0.29302409291267395
13,0.9778540730476379,0.05340946465730667,0.9422882795333862,0.22056002914905548
14,0.9787676334381104,0.05088816583156586,0.9434223771095276,0.21681466698646545
15,0.9788306355476379,0.04948864132165909,0.9439263939857483,0.24202845990657806
16,0.9798387289047241,0.04820852354168892,0.9405242204666138,0.2669054865837097
17,0.9807837605476379,0.04577896371483803,0.9444304704666138,0.2086719125509262
18,0.9813193082809448,0.04515459015965462,0.9430443644523621,0.233404278755188
19,0.9811933040618896,0.044316716492176056,0.9402721524238586,0.2326391637325287
