epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.7283180952072144,1.7524878978729248,0.7729371786117554,0.5363404750823975
1,0.8010885119438171,0.4408735930919647,0.8223522305488586,0.38761553168296814
2,0.8351035714149475,0.3790798783302307,0.8463670015335083,0.36349359154701233
3,0.855907678604126,0.33303460478782654,0.8471366763114929,0.4426023066043854
4,0.8701720237731934,0.3077617883682251,0.8560652732849121,0.338718056678772
5,0.8806179761886597,0.28020671010017395,0.8763854503631592,0.32483169436454773
6,0.8913272619247437,0.25810569524765015,0.848368227481842,0.39613109827041626
7,0.8966379761695862,0.2438133805990219,0.8443657755851746,0.5434285998344421
8,0.898656964302063,0.25034645199775696,0.8974753618240356,0.3284124732017517
9,0.9025192856788635,0.24166639149188995,0.8928571343421936,0.3581329882144928
