epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8324722647666931,0.3892780542373657,0.8153981566429138,0.41967684030532837
1,0.8359059691429138,0.3851070702075958,0.8179183602333069,0.41495925188064575
2,0.8361265063285828,0.3820609748363495,0.8166582584381104,0.41558191180229187
3,0.8377646207809448,0.38051140308380127,0.8150201439857483,0.4178609251976013
4,0.8384261727333069,0.37905463576316833,0.8175403475761414,0.414775013923645
5,0.8383946418762207,0.37870320677757263,0.8179183602333069,0.4168672561645508
6,0.8379221558570862,0.3769666254520416,0.8141381144523621,0.4159591495990753
7,0.8394027352333069,0.3760010600090027,0.8155242204666138,0.4221647083759308
8,0.8401272892951965,0.37422579526901245,0.8194304704666138,0.41094568371772766
9,0.840599775314331,0.3734777569770813,0.8227066397666931,0.4077853858470917
10,0.8418914079666138,0.3728407621383667,0.8174143433570862,0.4244552254676819
11,0.8423638939857483,0.3712839186191559,0.8203125,0.4072694778442383
12,0.8427419066429138,0.3702777326107025,0.8198084831237793,0.4142628014087677
13,0.8429309725761414,0.3702712953090668,0.8189263939857483,0.41713768243789673
14,0.8430254459381104,0.3689498007297516,0.8216986060142517,0.4069617688655853
15,0.8440965414047241,0.36779624223709106,0.8230846524238586,0.40609100461006165
16,0.8454511165618896,0.3674050569534302,0.8201864957809448,0.40992215275764465
17,0.8459551334381104,0.36608606576919556,0.8220766186714172,0.4090038537979126
18,0.8450101017951965,0.3655925691127777,0.8189263939857483,0.41758739948272705
19,0.8461756706237793,0.36443614959716797,0.8225806355476379,0.40795427560806274
