epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8782132267951965,0.2720288038253784,0.8623992204666138,0.33441171050071716
1,0.8906880021095276,0.2455689013004303,0.8669354915618896,0.32599297165870667
2,0.8989100456237793,0.22966262698173523,0.8686996102333069,0.3423406183719635
3,0.9051789045333862,0.2170301079750061,0.8731098771095276,0.3451034426689148
4,0.9106602668762207,0.2055782824754715,0.8776461482048035,0.34573623538017273
5,0.914818525314331,0.19468368589878082,0.8811743855476379,0.34174102544784546
6,0.9197328686714172,0.1857737898826599,0.883568525314331,0.318915992975235
7,0.924048662185669,0.17657974362373352,0.8860887289047241,0.334515243768692
8,0.9282383918762207,0.1687908172607422,0.8891128897666931,0.33198168873786926
9,0.9304120540618896,0.1613837033510208,0.8908770084381104,0.3312145173549652
10,0.9341607689857483,0.15366047620773315,0.8910030126571655,0.3469252288341522
11,0.9370904564857483,0.14776979386806488,0.891381025314331,0.3411376476287842
12,0.9388545751571655,0.14231377840042114,0.8939012289047241,0.3358847498893738
13,0.9414377808570862,0.1344006359577179,0.8946572542190552,0.3589068055152893
14,0.9437059164047241,0.1304945945739746,0.8955393433570862,0.3554328382015228
15,0.945533037185669,0.12554188072681427,0.8961693644523621,0.3699079751968384
16,0.9480846524238586,0.11914308369159698,0.8955393433570862,0.3711298704147339
17,0.9483051896095276,0.11686405539512634,0.8959173560142517,0.3733307123184204
18,0.9509198665618896,0.11251221597194672,0.8973034024238586,0.37190595269203186
19,0.9526524543762207,0.10862717032432556,0.90234375,0.37925484776496887
