Filename,Axis 0,Axis 1,Axis 2,Infomative voxel,Total voxel,Ratio
66-2177 L_masked_squeezed.nii.gz,176,293,384,3444103,19802112,0.17392604384825214
66-2177 R_masked_squeezed_flipped.nii.gz,199,278,399,3132137,22073478,0.1418959440827585
66-218 L 2023 06 16_masked_squeezed.nii.gz,206,341,341,6457048,23953886,0.26956160683072466
66-218 R 2023 06 16_masked_squeezed_flipped.nii.gz,175,282,369,5116162,18210150,0.28095111792050037
66-23248 L 2023 11 29_masked_squeezed.nii.gz,181,322,308,3348631,17950856,0.18654436312117928
66-23248 R 2023 11 29_masked_squeezed_flipped.nii.gz,194,330,319,3100607,20422380,0.15182397937948466
66-4559 L_masked_squeezed.nii.gz,155,315,362,3730754,17674650,0.21107937073718575
66-4559 R_masked_squeezed_flipped.nii.gz,173,303,365,3251284,19132935,0.16993127295942834
66-59 L_masked_squeezed.nii.gz,196,293,400,4359404,22971200,0.18977693807898585
66-59 R_masked_squeezed_flipped.nii.gz,195,361,374,4708721,26327730,0.178850246489158
66-700261 L_masked_squeezed.nii.gz,153,299,274,2178661,12534678,0.17381068743848066
66-700261 R_masked_squeezed_flipped.nii.gz,151,291,267,2090726,11732247,0.17820337399988254
66-700314 L_masked_squeezed.nii.gz,160,285,324,3330283,14774400,0.22540901830192767
66-700314 R_masked_squeezed_flipped.nii.gz,157,288,370,3001143,16729920,0.1793877675446147
66-700362 L_masked_squeezed.nii.gz,197,310,333,2990747,20336310,0.14706438877062752
66-700362 R_masked_squeezed_flipped.nii.gz,164,307,312,2994310,15708576,0.1906162595514705
66-700404 L_masked_squeezed.nii.gz,203,339,417,4881201,28696689,0.1700963132018471
66-700404 R_masked_squeezed_flipped.nii.gz,213,325,386,4378362,26720850,0.16385564081980925
66-700681 L_masked_squeezed.nii.gz,173,333,389,4182403,22409901,0.18663192666491477
66-700681 R_masked_squeezed_flipped.nii.gz,211,337,413,4524812,29367191,0.15407711278889424
