Filename,Axis 0,Axis 1,Axis 2,Infomative voxel,Total voxel,Ratio
56-18364 R_masked_squeezed_flipped.nii.gz,224,224,224,1359663,11239424,0.12097265838534074
56-19232 L_masked_squeezed.nii.gz,224,224,224,1915297,11239424,0.17040882166203536
56-24221 L_masked_squeezed.nii.gz,224,224,224,1967405,11239424,0.175045002306168
56-24221 R_masked_squeezed_flipped.nii.gz,224,224,224,1973825,11239424,0.17561620595503827
56-26683 L_masked_squeezed.nii.gz,224,224,224,1658259,11239424,0.1475395002448524
56-27847 L_masked_squeezed.nii.gz,224,224,224,1591873,11239424,0.14163296980343476
56-27847 R_masked_squeezed_flipped.nii.gz,224,224,224,1864886,11239424,0.16592362740297012
56-9695 L_masked_squeezed.nii.gz,224,224,224,1491341,11239424,0.13268838331928753
56-9695 R_masked_squeezed_flipped.nii.gz,224,224,224,1113400,11239424,0.09906201598943148
57-10397 L 2015_masked_squeezed.nii.gz,224,224,224,1737549,11239424,0.15459413222599308
57-10397 L 2018_masked_squeezed.nii.gz,224,224,224,1731672,11239424,0.15407124066144315
57-10397 R 2015_masked_squeezed_flipped.nii.gz,224,224,224,1657328,11239424,0.14745666681851313
57-10397 R 2018_masked_squeezed_flipped.nii.gz,224,224,224,1664712,11239424,0.1481136399872449
57-12957 L_masked_squeezed.nii.gz,224,224,224,1562837,11239424,0.139049563393996
57-12957 R_masked_squeezed_flipped.nii.gz,224,224,224,1324101,11239424,0.11780861723874818
57-16393 L_masked_squeezed.nii.gz,224,224,224,1925542,11239424,0.1713203452418914
57-16393 R_masked_squeezed_flipped.nii.gz,224,224,224,1994637,11239424,0.17746790226972486
57-24048 L_masked_squeezed.nii.gz,224,224,224,1486724,11239424,0.13227759714376822
57-24983 L_masked_squeezed.nii.gz,224,224,224,2417922,11239424,0.21512864004418733
57-24983 R_masked_squeezed_flipped.nii.gz,224,224,224,2151087,11239424,0.19138765474102587
57-28760 L_masked_squeezed.nii.gz,224,224,224,1674643,11239424,0.14899722619237427
57-28760 R_masked_squeezed_flipped.nii.gz,224,224,224,1397122,11239424,0.12430548042319606
57-29097 L_masked_squeezed.nii.gz,224,224,224,1628298,11239424,0.1448737942442602
57-29097 R_masked_squeezed_flipped.nii.gz,224,224,224,1786035,11239424,0.1589080543629282
57-30513 L_masked_squeezed.nii.gz,224,224,224,1415630,11239424,0.1259521840265124
57-30513 R_masked_squeezed_flipped.nii.gz,224,224,224,1300137,11239424,0.11567647950642311
57-34770 L_masked_squeezed.nii.gz,224,224,224,1795214,11239424,0.15972473322476313
57-34770 R_masked_squeezed_flipped.nii.gz,224,224,224,1797638,11239424,0.15994040263985057
57-36050 L_masked_squeezed.nii.gz,224,224,224,1871590,11239424,0.16652009925063777
57-36050 R_masked_squeezed_flipped.nii.gz,224,224,224,1689252,11239424,0.15029702589741253
58-15574 L_masked_squeezed.nii.gz,224,224,224,1503122,11239424,0.13373656870672376
58-15574 R_masked_squeezed_flipped.nii.gz,224,224,224,1413527,11239424,0.12576507479386845
58-23240 L_masked_squeezed.nii.gz,224,224,224,1370840,11239424,0.12196710436406706
58-23240 R_masked_squeezed_flipped.nii.gz,224,224,224,1499342,11239424,0.13340025253963192
58-32020 R_masked_squeezed_flipped.nii.gz,224,224,224,1052818,11239424,0.09367188211780247
58-38918 L_masked_squeezed.nii.gz,224,224,224,2439513,11239424,0.21704964596050474
58-38918 R_masked_squeezed_flipped.nii.gz,224,224,224,2260631,11239424,0.20113406167433492
58-42016 L_masked_squeezed.nii.gz,224,224,224,2233063,11239424,0.1986812669403699
58-42016 R_masked_squeezed_flipped.nii.gz,224,224,224,2246391,11239424,0.19986709283322704
58-43911 L_masked_squeezed.nii.gz,224,224,224,1691768,11239424,0.15052088078534986
58-43911 R_masked_squeezed_flipped.nii.gz,224,224,224,1407622,11239424,0.12523969199845117
58-651 L_masked_squeezed.nii.gz,224,224,224,1925699,11239424,0.17133431392925474
58-651 R_masked_squeezed_flipped.nii.gz,224,224,224,1746196,11239424,0.1553634777013484
58-9834 L_masked_squeezed.nii.gz,224,224,224,1246574,11239424,0.11091084382971939
58-9834 R_masked_squeezed_flipped.nii.gz,224,224,224,1087561,11239424,0.09676305476152515
59-14284 L_masked_squeezed.nii.gz,224,224,224,1628497,11239424,0.14489149977792457
59-14284 R_masked_squeezed_flipped.nii.gz,224,224,224,1510062,11239424,0.1343540380717019
59-23032 R_masked_squeezed_flipped.nii.gz,224,224,224,1750934,11239424,0.15578502955311588
59-24008 L_masked_squeezed.nii.gz,224,224,224,1894398,11239424,0.16854938473715378
59-27051 L_masked_squeezed.nii.gz,224,224,224,1455874,11239424,0.12953279456313777
59-27051 R_masked_squeezed_flipped.nii.gz,224,224,224,1390284,11239424,0.12369708625637756
59-31824 L_masked_squeezed.nii.gz,224,224,224,1384761,11239424,0.12320569096779337
59-31824 R_masked_squeezed_flipped.nii.gz,224,224,224,1513907,11239424,0.13469613745330722
59-33496 L_masked_squeezed.nii.gz,224,224,224,2112867,11239424,0.1879871246070973
59-33496 R_masked_squeezed_flipped.nii.gz,224,224,224,2200810,11239424,0.19581163589877915
59-35009 L_masked_squeezed.nii.gz,224,224,224,1748429,11239424,0.15556215336301932
59-35009 R_masked_squeezed_flipped.nii.gz,224,224,224,1571925,11239424,0.13985814575551203
59-36616 L_masked_squeezed.nii.gz,224,224,224,1712959,11239424,0.1524062976892766
59-36616 R_masked_squeezed_flipped.nii.gz,224,224,224,1627788,11239424,0.1448284182534621
59-38408 L_masked_squeezed.nii.gz,224,224,224,1528763,11239424,0.13601791337349672
59-39978 L_masked_squeezed.nii.gz,224,224,224,1840095,11239424,0.16371790938752734
59-39978 R_masked_squeezed_flipped.nii.gz,224,224,224,1642553,11239424,0.14614209767333272
59-6269 L_masked_squeezed.nii.gz,224,224,224,1662861,11239424,0.14794895183240708
60-16447 L_masked_squeezed.nii.gz,224,224,224,1934120,11239424,0.17208355161260933
60-16447 R_masked_squeezed_flipped.nii.gz,224,224,224,1849599,11239424,0.16456350432192968
60-21851 L_masked_squeezed.nii.gz,224,224,224,1578269,11239424,0.14042258749202807
60-21851 R_masked_squeezed_flipped.nii.gz,224,224,224,1433544,11239424,0.12754603794642858
60-24908 L 2017_masked_squeezed.nii.gz,224,224,224,1520513,11239424,0.13528388999293914
60-24908 L 2023_masked_squeezed.nii.gz,224,224,224,1669262,11239424,0.14851846500318877
60-24908 R 2017_masked_squeezed_flipped.nii.gz,224,224,224,1466671,11239424,0.13049343098009292
60-24908 R 2023_masked_squeezed_flipped.nii.gz,224,224,224,1626144,11239424,0.14468214741253643
60-25232 L_masked_squeezed.nii.gz,224,224,224,1281623,11239424,0.11402924206792092
60-25232 R_masked_squeezed_flipped.nii.gz,224,224,224,1218077,11239424,0.10837539361447704
60-2688 L_masked_squeezed.nii.gz,224,224,224,1937627,11239424,0.17239557827874452
60-2688 R_masked_squeezed_flipped.nii.gz,224,224,224,2035778,11239424,0.1811283211666363
60-2918 L_masked_squeezed.nii.gz,224,224,224,1827220,11239424,0.16257238805120264
60-30757 R_masked_squeezed_flipped.nii.gz,224,224,224,1785882,11239424,0.15889444156568877
60-33107 L_masked_squeezed.nii.gz,224,224,224,1074124,11239424,0.09556753086279154
60-33107 R_masked_squeezed_flipped.nii.gz,224,224,224,1393876,11239424,0.12401667558764577
60-33597 L 2017_masked_squeezed.nii.gz,224,224,224,1784780,11239424,0.15879639383655247
60-33597 L 2019 03 11_masked_squeezed.nii.gz,224,224,224,1611581,11239424,0.1433864404439231
60-33597 L 2019 09 02_masked_squeezed.nii.gz,224,224,224,1592467,11239424,0.14168581948683492
60-34373 L 2017_masked_squeezed.nii.gz,224,224,224,1689876,11239424,0.15035254475674198
60-34373 L 2019_masked_squeezed.nii.gz,224,224,224,1659721,11239424,0.1476695780851403
60-34373 R 2017_masked_squeezed_flipped.nii.gz,224,224,224,1775389,11239424,0.1579608527981505
60-34373 R 2019_masked_squeezed_flipped.nii.gz,224,224,224,1816634,11239424,0.16163052483828352
60-38868 R_masked_squeezed_flipped.nii.gz,224,224,224,1446671,11239424,0.1287139803605594
60-39505 L_masked_squeezed.nii.gz,224,224,224,1560672,11239424,0.13885693786443148
60-39505 R_masked_squeezed_flipped.nii.gz,224,224,224,1733763,11239424,0.15425728222371538
60-4194 L_masked_squeezed.nii.gz,224,224,224,1624533,11239424,0.14453881266513302
60-4194 R_masked_squeezed_flipped.nii.gz,224,224,224,1993528,11239424,0.17736923173287172
60-700759 L_masked_squeezed.nii.gz,224,224,224,1820172,11239424,0.161945309652879
60-700759 R_masked_squeezed_flipped.nii.gz,224,224,224,1712314,11239424,0.15234891040679666
60-700919 L_masked_squeezed.nii.gz,224,224,224,1649229,11239424,0.14673607829013302
60-700919 R_masked_squeezed_flipped.nii.gz,224,224,224,1513913,11239424,0.13469667128849308
60-701005 L 2017_masked_squeezed.nii.gz,224,224,224,1425242,11239424,0.1268073879942602
60-701005 L 2021_masked_squeezed.nii.gz,224,224,224,1532153,11239424,0.13631953025350765
60-701005 R 2017_masked_squeezed_flipped.nii.gz,224,224,224,1620037,11239424,0.14413879216586187
60-701005 R 2021_masked_squeezed_flipped.nii.gz,224,224,224,1587273,11239424,0.14122369616094205
60-701042 L_masked_squeezed.nii.gz,224,224,224,1666443,11239424,0.14826765143836554
60-701042 R_masked_squeezed_flipped.nii.gz,224,224,224,1734919,11239424,0.15436013446952443
60-701142 L_masked_squeezed.nii.gz,224,224,224,1637874,11239424,0.14572579520089285
60-701142 R_masked_squeezed_flipped.nii.gz,224,224,224,1689190,11239424,0.15029150960049198
60-701166 L_masked_squeezed.nii.gz,224,224,224,1789070,11239424,0.15917808599444241
60-701166 R_masked_squeezed_flipped.nii.gz,224,224,224,1935306,11239424,0.17218907303434766
60-701195 L_masked_squeezed.nii.gz,224,224,224,2096035,11239424,0.1864895389656979
60-7166 L_masked_squeezed.nii.gz,224,224,224,1972777,11239424,0.1755229627425747
60-7166 R_masked_squeezed_flipped.nii.gz,224,224,224,1778673,11239424,0.1582530385898779
60-9722 L_masked_squeezed.nii.gz,224,224,224,1334091,11239424,0.11869745282320518
60-9722 R_masked_squeezed_flipped.nii.gz,224,224,224,1365759,11239424,0.12151503493417457
61-13344 L_masked_squeezed.nii.gz,224,224,224,1489681,11239424,0.13254068891786625
61-13344 R_masked_squeezed_flipped.nii.gz,224,224,224,1334353,11239424,0.11872076362632106
61-14198 L_masked_squeezed.nii.gz,224,224,224,1441736,11239424,0.1282749009201895
61-14198 R_masked_squeezed_flipped.nii.gz,224,224,224,1452170,11239424,0.12920324030840014
61-16015 L_masked_squeezed.nii.gz,224,224,224,1335554,11239424,0.11882761963602405
61-16015 R 2022_masked_squeezed_flipped.nii.gz,224,224,224,1359278,11239424,0.12093840396091472
61-18860 L_masked_squeezed.nii.gz,224,224,224,1648239,11239424,0.1466479954844661
61-18860 R_masked_squeezed_flipped.nii.gz,224,224,224,1552107,11239424,0.13809488813661625
61-20310 L_masked_squeezed.nii.gz,224,224,224,1485124,11239424,0.13213524109420555
61-20310 R_masked_squeezed_flipped.nii.gz,224,224,224,1508983,11239424,0.13425803671077807
61-21027 L_masked_squeezed.nii.gz,224,224,224,1720580,11239424,0.15308435734784986
61-21027 R_masked_squeezed_flipped.nii.gz,224,224,224,1361072,11239424,0.12109802068148688
61-21564 L_masked_squeezed.nii.gz,224,224,224,1393009,11239424,0.12393953640328899
61-21564 R_masked_squeezed_flipped.nii.gz,224,224,224,1396019,11239424,0.12420734372152879
61-25724 L_masked_squeezed.nii.gz,224,224,224,2011134,11239424,0.1789356821132471
61-25724 R_masked_squeezed_flipped.nii.gz,224,224,224,2046535,11239424,0.1820853986823524
61-32062 L_masked_squeezed.nii.gz,224,224,224,1442610,11239424,0.12835266291226313
61-32062 R_masked_squeezed_flipped.nii.gz,224,224,224,1679843,11239424,0.14945988335345298
61-33141 L_masked_squeezed.nii.gz,224,224,224,1829167,11239424,0.1627456175690142
61-33141 R_masked_squeezed_flipped.nii.gz,224,224,224,1805753,11239424,0.1606624147287263
61-34247 L_masked_squeezed.nii.gz,224,224,224,1826079,11239424,0.16247087039335822
61-34247 R_masked_squeezed_flipped.nii.gz,224,224,224,1674702,11239424,0.1490024755717019
61-5225 L_masked_squeezed.nii.gz,224,224,224,1739351,11239424,0.15475446072681304
61-5586 L_masked_squeezed.nii.gz,224,224,224,1548735,11239424,0.1377948727621629
61-5586 R_masked_squeezed_flipped.nii.gz,224,224,224,1638903,11239424,0.14581734793526785
61-6974 L_masked_squeezed.nii.gz,224,224,224,1376836,11239424,0.12250058365980321
61-6974 R_masked_squeezed_flipped.nii.gz,224,224,224,1166631,11239424,0.10379811278585095
61-700034 L_masked_squeezed.nii.gz,224,224,224,1795554,11239424,0.1597549838852952
61-700034 R_masked_squeezed_flipped.nii.gz,224,224,224,1837165,11239424,0.16345721987176567
61-700101 L_masked_squeezed.nii.gz,224,224,224,1374083,11239424,0.12225564228202442
61-700101 R_masked_squeezed_flipped.nii.gz,224,224,224,1427592,11239424,0.12701647344205538
61-700554 L_masked_squeezed.nii.gz,224,224,224,1725234,11239424,0.1534984355070153
61-700554 R_masked_squeezed_flipped.nii.gz,224,224,224,1660714,11239424,0.14775792780840014
61-700847 L_masked_squeezed.nii.gz,224,224,224,1445959,11239424,0.128650631918504
61-700847 R_masked_squeezed_flipped.nii.gz,224,224,224,1726512,11239424,0.1536121424016035
61-701246 L_masked_squeezed.nii.gz,224,224,224,1959083,11239424,0.1743045729033801
61-701246 R_masked_squeezed_flipped.nii.gz,224,224,224,2046700,11239424,0.18210007914996357
62-12734 R_masked_squeezed_flipped.nii.gz,224,224,224,1803798,11239424,0.1604884734306669
62-12908 R_masked_squeezed_flipped.nii.gz,224,224,224,1893290,11239424,0.16845080317283162
62-13410 L_masked_squeezed.nii.gz,224,224,224,1631838,11239424,0.14518875700391765
62-13410 R_masked_squeezed_flipped.nii.gz,224,224,224,1500878,11239424,0.1335369143472121
62-1401 L_masked_squeezed.nii.gz,224,224,224,1665995,11239424,0.14822779174448797
62-14053 L_masked_squeezed.nii.gz,224,224,224,1874081,11239424,0.16674172982530067
62-14053 R_masked_squeezed_flipped.nii.gz,224,224,224,1813737,11239424,0.1613727714160441
62-21678 L_masked_squeezed.nii.gz,224,224,224,1472859,11239424,0.1310439930017766
62-2274 R 2019_masked_squeezed_flipped.nii.gz,224,224,224,1652371,11239424,0.14701562998246173
62-2274 R 2021_masked_squeezed_flipped.nii.gz,224,224,224,1365944,11239424,0.12153149485240525
62-23102 L_masked_squeezed.nii.gz,224,224,224,1550455,11239424,0.13794790551544278
62-23102 R_masked_squeezed_flipped.nii.gz,224,224,224,1842293,11239424,0.16391347101061407
62-24379 R_masked_squeezed_flipped.nii.gz,224,224,224,1832154,11239424,0.16301137851904154
62-24749 L_masked_squeezed.nii.gz,224,224,224,1938992,11239424,0.1725170257835277
62-24749 R_masked_squeezed_flipped.nii.gz,224,224,224,2052936,11239424,0.18265491185313412
62-25311 R_masked_squeezed_flipped.nii.gz,224,224,224,1582163,11239424,0.14076904652765124
62-25333 L_masked_squeezed.nii.gz,224,224,224,1753935,11239424,0.1560520361185769
62-25333 R_masked_squeezed_flipped.nii.gz,224,224,224,1595682,11239424,0.14197186617392493
