epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.7340599894523621,0.8328472375869751,0.7660030126571655,0.48964694142341614
1,0.7755481600761414,0.4744943380355835,0.7634828686714172,0.4836810529232025
2,0.787109375,0.4497862160205841,0.7772177457809448,0.4648698568344116
3,0.7901965975761414,0.44316163659095764,0.7954888939857483,0.4463955760002136
4,0.7953628897666931,0.4329926371574402,0.8010332584381104,0.4230317771434784
5,0.8009702563285828,0.4257040023803711,0.784400224685669,0.44539549946784973
6,0.7985445857048035,0.42657312750816345,0.7962449789047241,0.4314083158969879
7,0.8045614957809448,0.41839703917503357,0.7934727668762207,0.43520209193229675
8,0.8029863834381104,0.4206318259239197,0.7862903475761414,0.44012948870658875
9,0.8085307478904724,0.41248562932014465,0.7949848771095276,0.42732059955596924
10,0.8093183040618896,0.4137510359287262,0.8024193644523621,0.44385668635368347
11,0.8060736060142517,0.41356760263442993,0.7927167415618896,0.4257808029651642
12,0.8095387816429138,0.4119336009025574,0.8061996102333069,0.4143097996711731
13,0.8092553019523621,0.40804556012153625,0.7998992204666138,0.4295893907546997
14,0.8127520084381104,0.40604954957962036,0.7978830933570862,0.4353574514389038
15,0.813697099685669,0.4037282168865204,0.8092237710952759,0.40882551670074463
16,0.8110824227333069,0.40607523918151855,0.7952368855476379,0.4310021996498108
17,0.8123109936714172,0.40439319610595703,0.8106098771095276,0.4105842113494873
18,0.8146106600761414,0.40195873379707336,0.8127520084381104,0.40683257579803467
19,0.8139805793762207,0.40125930309295654,0.7938507795333862,0.44080862402915955
