epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
35,3584.82,0.14621,0.72156,1,1.13208,0.006634,0.006634,0.006634
36,3684.38,0.13466,0.73223,1,1.21153,0.006535,0.006535,0.006535
37,3783.85,0.13558,0.72038,1,1.16692,0.006436,0.006436,0.006436
38,3883.26,0.13629,0.72275,1,1.05706,0.006337,0.006337,0.006337
39,3983.13,0.12386,0.71919,1,1.20306,0.006238,0.006238,0.006238
40,4083.6,0.13146,0.71445,1,1.19772,0.006139,0.006139,0.006139
41,4183.84,0.12553,0.70972,1,1.21706,0.00604,0.00604,0.00604
42,4283.76,0.12675,0.71564,1,1.1976,0.005941,0.005941,0.005941
43,4381.85,0.12605,0.72275,1,1.1987,0.005842,0.005842,0.005842
44,4480.01,0.11762,0.71564,1,1.25649,0.005743,0.005743,0.005743
45,4578,0.11802,0.71445,1,1.31768,0.005644,0.005644,0.005644
46,4676.57,0.11596,0.70735,1,1.38103,0.005545,0.005545,0.005545
47,4821.78,0.11084,0.70616,1,1.39087,0.005446,0.005446,0.005446
48,5124.77,0.11878,0.71327,1,1.35547,0.005347,0.005347,0.005347
49,5440.41,0.11394,0.71209,1,1.37769,0.005248,0.005248,0.005248
50,5756.18,0.10203,0.70853,1,1.35205,0.005149,0.005149,0.005149
51,6071.57,0.11136,0.71801,1,1.41563,0.00505,0.00505,0.00505
52,6386.92,0.10172,0.71682,1,1.31599,0.004951,0.004951,0.004951
53,6702.66,0.10227,0.70972,1,1.32349,0.004852,0.004852,0.004852
54,7018.46,0.09628,0.71209,1,1.40928,0.004753,0.004753,0.004753
55,7334.32,0.10587,0.70972,1,1.39488,0.004654,0.004654,0.004654
56,7650.1,0.10675,0.71445,1,1.4074,0.004555,0.004555,0.004555
57,7965.41,0.09197,0.71209,1,1.45393,0.004456,0.004456,0.004456
58,8281.22,0.0968,0.72156,1,1.32387,0.004357,0.004357,0.004357
59,8596.82,0.09295,0.71327,1,1.49393,0.004258,0.004258,0.004258
60,8912.32,0.08529,0.7109,1,1.4172,0.004159,0.004159,0.004159
61,9227.75,0.0907,0.70853,1,1.44584,0.00406,0.00406,0.00406
62,9543.3,0.08828,0.70379,1,1.50126,0.003961,0.003961,0.003961
63,9802.16,0.08564,0.70261,1,1.46076,0.003862,0.003862,0.003862
64,9891.48,0.08007,0.70261,1,1.46826,0.003763,0.003763,0.003763
65,9986.13,0.08544,0.70142,1,1.53547,0.003664,0.003664,0.003664
66,10083.2,0.07988,0.69905,1,1.45393,0.003565,0.003565,0.003565
67,10180.9,0.08064,0.70261,1,1.57091,0.003466,0.003466,0.003466
68,10279,0.07096,0.70379,1,1.44501,0.003367,0.003367,0.003367
69,10377.1,0.07531,0.70735,1,1.59877,0.003268,0.003268,0.003268
70,10475.8,0.07781,0.71209,1,1.56236,0.003169,0.003169,0.003169
71,10700.9,0.07196,0.71209,1,1.47797,0.00307,0.00307,0.00307
72,11016.7,0.0693,0.70972,1,1.54565,0.002971,0.002971,0.002971
73,11332.5,0.06877,0.70853,1,1.51517,0.002872,0.002872,0.002872
74,11648.2,0.0674,0.70972,1,1.50834,0.002773,0.002773,0.002773
75,11963.7,0.06849,0.71209,1,1.54534,0.002674,0.002674,0.002674
76,12279.1,0.06509,0.71327,1,1.51695,0.002575,0.002575,0.002575
77,12583.6,0.06493,0.7109,1,1.49033,0.002476,0.002476,0.002476
78,12896.6,0.05738,0.71209,1,1.52926,0.002377,0.002377,0.002377
79,13209.5,0.05946,0.7109,1,1.55284,0.002278,0.002278,0.002278
80,13522.3,0.06147,0.71327,1,1.63232,0.002179,0.002179,0.002179
81,13834.6,0.05802,0.71209,1,1.57945,0.00208,0.00208,0.00208
82,14147.3,0.05133,0.7109,1,1.51228,0.001981,0.001981,0.001981
83,14460.2,0.05412,0.7109,1,1.57359,0.001882,0.001882,0.001882
84,14773,0.05227,0.70972,1,1.63128,0.001783,0.001783,0.001783
85,15085.6,0.05286,0.70853,1,1.63177,0.001684,0.001684,0.001684
86,15398,0.05331,0.70853,1,1.59309,0.001585,0.001585,0.001585
87,15710.6,0.04795,0.70853,1,1.53577,0.001486,0.001486,0.001486
88,16023,0.05265,0.70853,1,1.70288,0.001387,0.001387,0.001387
89,16335.3,0.05138,0.70853,1,1.67205,0.001288,0.001288,0.001288
90,16648.2,0.04885,0.70853,1,1.59124,0.001189,0.001189,0.001189
91,17015,0.04543,0.70972,1,1.82533,0.00109,0.00109,0.00109
92,17326.6,0.04713,0.70972,1,1.59256,0.000991,0.000991,0.000991
93,17638.5,0.04816,0.7109,1,1.55512,0.000892,0.000892,0.000892
94,17950.5,0.0431,0.71445,1,1.62462,0.000793,0.000793,0.000793
95,18262.5,0.04133,0.71682,1,1.58315,0.000694,0.000694,0.000694
96,18573.9,0.03854,0.71682,1,1.60083,0.000595,0.000595,0.000595
97,18885.7,0.0404,0.71801,1,1.56485,0.000496,0.000496,0.000496
98,19197.4,0.039,0.71919,1,1.66546,0.000397,0.000397,0.000397
99,19509.2,0.03875,0.71919,1,1.65813,0.000298,0.000298,0.000298
100,19821.1,0.03943,0.71682,1,1.69441,0.000199,0.000199,0.000199
