epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8246597647666931,0.3801683485507965,0.8125,0.4107203781604767
1,0.8250063061714172,0.3788425028324127,0.8125,0.41034066677093506
2,0.8254473209381104,0.37731844186782837,0.8114919066429138,0.4125242531299591
3,0.8266128897666931,0.3769126534461975,0.8136340975761414,0.4126412868499756
4,0.8266758918762207,0.3765285313129425,0.8118699789047241,0.410728394985199
5,0.8262978792190552,0.37640368938446045,0.8162802457809448,0.41314584016799927
6,0.828345537185669,0.3756257891654968,0.8114919066429138,0.4117923378944397
7,0.8271169066429138,0.37607547640800476,0.8122479915618896,0.40990501642227173
8,0.8267388939857483,0.37510985136032104,0.8123739957809448,0.4121157228946686
9,0.8278099894523621,0.37504762411117554,0.8123739957809448,0.4172714948654175
10,0.8284715414047241,0.37460431456565857,0.8130040168762207,0.41792911291122437
11,0.8287235498428345,0.3743746280670166,0.8122479915618896,0.413653165102005
12,0.8282510042190552,0.37400516867637634,0.8135080933570862,0.41439616680145264
13,0.828345537185669,0.3742523193359375,0.8125,0.41661572456359863
14,0.8291015625,0.37417200207710266,0.8130040168762207,0.4163554012775421
15,0.8288180232048035,0.37385767698287964,0.813256025314331,0.41171738505363464
16,0.830078125,0.3736955225467682,0.8126260042190552,0.417192280292511
17,0.8304246664047241,0.373056024312973,0.8130040168762207,0.41285818815231323
18,0.8305506706237793,0.37264856696128845,0.8126260042190552,0.41479426622390747
19,0.830078125,0.372605562210083,0.8127520084381104,0.4128100574016571
