epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.9832724332809448,0.04299478977918625,0.9591733813285828,0.1430898904800415
1,0.9869581460952759,0.03305915370583534,0.961693525314331,0.14538505673408508
2,0.9894153475761414,0.02872372791171074,0.9633316397666931,0.1438545286655426
3,0.990454912185669,0.025751780718564987,0.9632056355476379,0.15360133349895477
4,0.9912424683570862,0.02325741946697235,0.9621976017951965,0.15926191210746765
5,0.9919354915618896,0.021370597183704376,0.9632056355476379,0.16170868277549744
6,0.9924710392951965,0.01947350986301899,0.9643397331237793,0.163106307387352
7,0.9934160709381104,0.017694149166345596,0.9608114957809448,0.193405881524086
8,0.9934476017951965,0.01715337298810482,0.9639617204666138,0.1841239631175995
9,0.9942351579666138,0.016093919053673744,0.9645917415618896,0.19188235700130463
10,0.994361162185669,0.014824040234088898,0.9639617204666138,0.18613344430923462
11,0.9955267310142517,0.012975035235285759,0.9643397331237793,0.19767522811889648
12,0.9951487183570862,0.012492185458540916,0.9639617204666138,0.2206377387046814
13,0.9952431917190552,0.01347489096224308,0.9666078686714172,0.20249079167842865
14,0.9959992170333862,0.011908050626516342,0.9657257795333862,0.20194092392921448
15,0.9961882829666138,0.011060474440455437,0.965599775314331,0.2167932540178299
16,0.9964087605476379,0.009843554347753525,0.9652217626571655,0.2185639590024948
17,0.9959677457809448,0.010730399750173092,0.9647177457809448,0.23023664951324463
18,0.9963457584381104,0.009365045465528965,0.9661038517951965,0.22910676896572113
19,0.9970703125,0.008529679849743843,0.9661038517951965,0.23448418080806732
