epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,52705.4,0.08558,0.99912,1,0.00459,0.00208,0.00208,0.00208
82,53367.2,0.08315,0.99912,1,0.00438,0.001981,0.001981,0.001981
83,54029.6,0.07723,0.99927,1,0.00415,0.001882,0.001882,0.001882
84,54691.6,0.08008,0.99927,1,0.00396,0.001783,0.001783,0.001783
85,55354.2,0.072,0.99942,1,0.00377,0.001684,0.001684,0.001684
86,56017.7,0.0697,0.99956,1,0.00354,0.001585,0.001585,0.001585
87,56680.4,0.06968,0.99956,1,0.00338,0.001486,0.001486,0.001486
88,57338.7,0.06729,0.99956,1,0.00323,0.001387,0.001387,0.001387
89,58001.6,0.06449,0.99956,1,0.0031,0.001288,0.001288,0.001288
90,58664.3,0.06344,0.99971,1,0.00296,0.001189,0.001189,0.001189
91,59371.1,0.06173,0.99985,1,0.00285,0.00109,0.00109,0.00109
92,60033.2,0.05695,1,1,0.00269,0.000991,0.000991,0.000991
93,60694.6,0.05581,1,1,0.00256,0.000892,0.000892,0.000892
94,61356.8,0.05386,0.99985,1,0.00246,0.000793,0.000793,0.000793
95,62011.2,0.05434,0.99985,1,0.00235,0.000694,0.000694,0.000694
96,62670.8,0.05264,0.99985,1,0.00225,0.000595,0.000595,0.000595
97,63331.9,0.05154,0.99971,1,0.00217,0.000496,0.000496,0.000496
98,63992.9,0.05046,0.99971,1,0.00209,0.000397,0.000397,0.000397
99,64654.1,0.04745,0.99971,1,0.00202,0.000298,0.000298,0.000298
100,65314.8,0.04661,0.99971,1,0.00196,0.000199,0.000199,0.000199
